中国人|ちゅうごくじん 
同|どう
呼|よぶ
路地|ろじ
無数|むすう
存在|そんざい
胡同|フートン
歴史|れきし
約|やく
年前|ねんまえ
世紀|せいき
時代|じだい
敵|てき
守|まもる
石垣|いしがき
作|つくる
住宅|じゅうたく
住居|じゅうきょ
囲|かこむ
北京市民|ペキンしみん
大切|たいせつ
生活|せいかつ
朝市|あさいち
頻繁|ひんぱん
開|あ
屋台|やたい
並|ならぶ
自転車置|じしゃおき
役割|やくわり
現在|げんざい
金銭|きんせん
取引所|とりひきじょ
銭市胡同|チェンシーフートン
刃物|はもの
研|とぐ
職人|しょくにん
磨刀胡同|モータオフートン
昔|むかし
残|のこる
四合院|しごういん
伝統的|でんとうてき
家屋|かおく
東西南北|とうざいなんぼく
棟|むね
中心|ちゅうしん
建|た
改造|かいぞう
年代|ねんだい
残念|ざんねん
近代化|きんだいか
進|すすむ
急激|きゅうげき
減|へ
古|ふる
動|うご
北京市|ペキンし
文化|ぶんか
保護区|ほごく
指定|してい
町並|まちなみ
保存|ほぞん
混在|こんざい
街|まち
変革|へんかく
迎|むか
